dataset_index,synset,true_label,true_class,clean_pred,clean_class,clean_conf,adv_pred,adv_class,adv_conf,attack_success,linf,mean_abs_delta,cam_ssim,cam_l1,cam_cosine
0,n01440764,0,tench,0,tench,0.6801583170890808,75,black widow,0.999743640422821,True,0.03137257695198059,0.017845680937170982,0.1652448446000524,0.2643018662929535,0.14239446818828583
1,n01440764,0,tench,0,tench,0.521339476108551,251,dalmatian,0.9999920129776001,True,0.03137257695198059,0.017986126244068146,0.33501020215497185,0.09599295258522034,0.008015988394618034
2,n01440764,0,tench,0,tench,0.44280537962913513,395,gar,0.010333254002034664,True,0.03137257695198059,0.017708485946059227,0.31301344713853985,0.14332878589630127,0.4717176556587219
3,n01440764,0,tench,0,tench,0.5295431613922119,974,geyser,0.5700217485427856,True,0.03137257695198059,0.01802581362426281,0.15946200195244786,0.17086561024188995,0.25965777039527893
4,n01440764,0,tench,0,tench,0.47666439414024353,391,coho,0.9999948740005493,True,0.03137257695198059,0.017794663086533546,0.2617836531419212,0.24180206656455994,0.4844174087047577
5,n01440764,0,tench,0,tench,0.49079790711402893,64,green mamba,0.18786169588565826,True,0.03137257695198059,0.018046677112579346,0.28104164470619275,0.1539151966571808,0.4879361093044281
6,n01440764,0,tench,0,tench,0.6115973591804504,882,vacuum,1.0,True,0.03137257695198059,0.017463400959968567,0.32440020012866017,0.1391853541135788,0.3708227574825287
7,n01440764,0,tench,0,tench,0.40700069069862366,389,barracouta,0.9991868138313293,True,0.03137257695198059,0.01846993900835514,0.22893577313344218,0.15222154557704926,0.20539139211177826
8,n01440764,0,tench,0,tench,0.45242318511009216,974,geyser,0.9997550845146179,True,0.03137257695198059,0.01817476376891136,0.1282396483873745,0.1501568704843521,0.14768154919147491
9,n01440764,0,tench,0,tench,0.5678409934043884,389,barracouta,0.9998136162757874,True,0.03137257695198059,0.01813223771750927,0.1898078054297946,0.1798551082611084,0.037078503519296646
10,n01440764,0,tench,0,tench,0.4805773198604584,397,puffer,0.9999997615814209,True,0.03137257695198059,0.01784380152821541,0.3369560796053021,0.1625581532716751,0.43031221628189087
11,n01440764,0,tench,0,tench,0.2696497142314911,391,coho,0.9999915361404419,True,0.03137257695198059,0.01779501512646675,0.3950878770440629,0.15312743186950684,0.6942743062973022
12,n01440764,0,tench,0,tench,0.39608269929885864,82,ruffed grouse,0.8069199323654175,True,0.03137257695198059,0.018289025872945786,0.40837987186822944,0.0805511549115181,0.7385010123252869
13,n01440764,0,tench,0,tench,0.3636423349380493,36,terrapin,0.9999786615371704,True,0.03137257695198059,0.017672790214419365,0.3312808326570604,0.1759108006954193,0.3446730673313141
14,n01440764,0,tench,0,tench,0.582625687122345,970,alp,0.9975119829177856,True,0.03137257695198059,0.018171781674027443,0.22973329948930654,0.13665324449539185,0.4522154927253723
15,n01440764,0,tench,0,tench,0.5259552597999573,39,common iguana,0.08886382728815079,True,0.03137257695198059,0.01791764236986637,0.3237994960708519,0.19899125397205353,0.6208157539367676
16,n01440764,0,tench,0,tench,0.2542096972465515,862,torch,0.9999998807907104,True,0.03137257695198059,0.01797080785036087,0.40437492178363904,0.09128854423761368,0.06319718807935715
17,n01440764,0,tench,0,tench,0.5307248830795288,389,barracouta,0.9999839067459106,True,0.03137257695198059,0.017867648974061012,0.3166323155633831,0.18137124180793762,0.2597161531448364
18,n01440764,0,tench,0,tench,0.5359527468681335,373,macaque,0.9272300004959106,True,0.03137257695198059,0.01818634755909443,0.14301286129311738,0.19636568427085876,0.0076065813191235065
19,n01440764,0,tench,0,tench,0.6517053842544556,170,Irish wolfhound,0.9999914169311523,True,0.03137257695198059,0.017883475869894028,0.34531545417287973,0.10533320158720016,0.5244435667991638
20,n01440764,0,tench,0,tench,0.43703413009643555,987,corn,0.9672613739967346,True,0.03137257695198059,0.01768123172223568,0.2996699845105441,0.1410423070192337,0.48233792185783386
22,n01440764,0,tench,0,tench,0.4664897918701172,391,coho,0.9997844099998474,True,0.03137257695198059,0.01763998530805111,0.3408142005331076,0.21014703810214996,0.48714739084243774
23,n01440764,0,tench,0,tench,0.48972561955451965,389,barracouta,0.9999995231628418,True,0.03137257695198059,0.018019605427980423,0.20326249455673706,0.23715531826019287,0.21173307299613953
24,n01440764,0,tench,0,tench,0.4010300934314728,575,golfcart,0.9999972581863403,True,0.03137257695198059,0.01766059175133705,0.3253468802359644,0.09831880033016205,0.5006715655326843
25,n01440764,0,tench,0,tench,0.5820210576057434,971,bubble,0.9999587535858154,True,0.03137257695198059,0.01763268932700157,0.2735929792917238,0.12411724030971527,0.4242168664932251
26,n01440764,0,tench,0,tench,0.4705161154270172,361,skunk,0.9999938011169434,True,0.03137257695198059,0.017743555828928947,0.11030421302939035,0.26938164234161377,0.07094518840312958
